"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
5.51730659858808e-57,-1.00957226993276,0.129,0.208,1.62468127408623e-52,"RAMP2"
4.1213293658625e-56,-0.608754478335643,0.435,0.554,1.21360785836553e-51,"LMNA"
4.39083871771508e-56,-0.682534278952817,0.205,0.302,1.29297027720556e-51,"SEPW1"
6.51710780522197e-56,-0.508762297922431,0.231,0.338,1.91909273540371e-51,"CCND1"
1.73041571505714e-52,-0.664453604751786,0.145,0.233,5.09555515612875e-48,"MTUS1"
5.00865255317683e-51,-0.708812330929544,0.134,0.215,1.47489791733398e-46,"GMNN"
2.36770881137683e-50,-0.567867997440575,0.187,0.282,6.97219213686136e-46,"RNF115"
4.68290341496224e-50,-0.61088869913835,0.451,0.587,1.37897456860393e-45,"ADIRF"
1.82885985011272e-49,-0.635782058658868,0.328,0.412,5.38544360062692e-45,"SELENOK"
2.35263258554878e-49,-0.691436108137383,0.414,0.464,6.9277971746655e-45,"ATP5PD"
3.35516163318173e-49,-0.527262920099517,0.389,0.517,9.87994446123023e-45,"YBX3"
4.08712038655401e-48,-1.11655663353834,0.232,0.322,1.20353434022856e-43,"TGFBR2"
1.57595118512446e-47,-0.66454242546764,0.242,0.339,4.64070345483599e-43,"ARID5B"
1.87648195283349e-47,-0.679300800821843,0.169,0.253,5.52567640650877e-43,"SELM"
3.54415525871652e-47,-1.25194570409244,0.149,0.228,1.04364739903425e-42,"CSRP2"
2.17387114242975e-46,-0.568612106373507,0.18,0.267,6.40139835311288e-42,"KL"
2.25242835697106e-46,-0.702717315751569,0.131,0.207,6.63272578277267e-42,"WARS"
9.323508153537e-46,-0.500670817654528,0.156,0.239,2.74549344597204e-41,"FOXO3"
3.49661157202558e-44,-0.626001797027237,0.16,0.236,1.02964720961437e-39,"EGFL7"
1.70860767010682e-43,-0.584843959378409,0.205,0.296,5.03133700616355e-39,"UPP1"
7.99422639173127e-42,-0.619295974545831,0.158,0.234,2.35405984557311e-37,"ETS1"
1.97158225471657e-41,-0.588860479238129,0.535,0.537,5.80571826546387e-37,"ATP5ME"
1.56858408606854e-40,-0.728870024992377,0.151,0.224,4.61900955824602e-36,"NUPR2"
5.22116695387075e-40,-0.731839994146629,0.175,0.251,1.53747703290632e-35,"SERPINA5"
1.09918743041343e-38,-0.86668292491784,0.511,0.598,3.23677722633842e-34,"TSC22D1"
1.31917079918787e-37,-0.686877780160189,0.348,0.43,3.88456225236853e-33,"ATP1B3"
2.17437818232329e-37,-0.613027137699122,0.201,0.287,6.4028914334874e-33,"HSPH1"
6.44823523681732e-35,-0.531484129642174,0.491,0.594,1.8988118301856e-30,"SUCLG1"
7.11465476513825e-35,-0.920593252381648,0.21,0.281,2.09505238869026e-30,"TMEM101"
1.63017163523493e-34,-0.620636774610179,0.388,0.477,4.80036641427629e-30,"HSPA1B"
3.24424389671816e-34,-0.745409344637026,0.131,0.2,9.55332500266595e-30,"HMGA1"
4.89826972193908e-34,-0.722855282868216,0.264,0.349,1.4423934850194e-29,"CDKN1C"
1.15864207437641e-33,-0.673309836517013,0.335,0.42,3.4118533164162e-29,"GNG11"
9.12876711350291e-33,-0.990604036873353,0.253,0.322,2.6881480519132e-28,"GDF15"
